,DateTime,Room,Capacity,Module,NumReg,Associated,PercentageEstimate,BinaryEstimate
199,2015-11-05 10:00:00,B-002,90,COMP30110,45,31,0.5,1
200,2015-11-05 10:00:00,B-002,90,COMP30110,45,32,0.5,1
201,2015-11-05 10:00:00,B-002,90,COMP30110,45,36,0.5,1
202,2015-11-05 10:00:00,B-002,90,COMP30110,45,35,0.5,1
203,2015-11-05 10:00:00,B-002,90,COMP30110,45,35,0.5,1
204,2015-11-05 10:00:00,B-002,90,COMP30110,45,34,0.5,1
205,2015-11-05 10:00:00,B-002,90,COMP30110,45,35,0.5,1
206,2015-11-05 11:00:00,B-002,90,COMP40370,27,37,0.25,1
207,2015-11-05 11:00:00,B-002,90,COMP40370,27,35,0.25,1
208,2015-11-05 11:00:00,B-002,90,COMP40370,27,39,0.25,1
209,2015-11-05 11:00:00,B-002,90,COMP40370,27,34,0.25,1
210,2015-11-05 11:00:00,B-002,90,COMP40370,27,35,0.25,1
211,2015-11-05 11:00:00,B-002,90,COMP40370,27,31,0.25,1
212,2015-11-05 11:00:00,B-002,90,COMP40370,27,29,0.25,1
213,2015-11-05 11:00:00,B-002,90,COMP40370,27,26,0.25,1
214,2015-11-05 11:00:00,B-002,90,COMP40370,27,26,0.25,1
215,2015-11-05 11:00:00,B-002,90,COMP40370,27,33,0.25,1
216,2015-11-05 12:00:00,B-002,90,COMP30260,18,32,0.25,1
217,2015-11-05 12:00:00,B-002,90,COMP30260,18,18,0.25,1
218,2015-11-05 12:00:00,B-002,90,COMP30260,18,21,0.25,1
219,2015-11-05 12:00:00,B-002,90,COMP30260,18,21,0.25,1
220,2015-11-05 12:00:00,B-002,90,COMP30260,18,23,0.25,1
221,2015-11-05 12:00:00,B-002,90,COMP30260,18,21,0.25,1
222,2015-11-05 12:00:00,B-002,90,COMP30260,18,21,0.25,1
223,2015-11-05 12:00:00,B-002,90,COMP30260,18,20,0.25,1
224,2015-11-05 12:00:00,B-002,90,COMP30260,18,19,0.25,1
225,2015-11-05 12:00:00,B-002,90,COMP30260,18,18,0.25,1
226,2015-11-05 12:00:00,B-002,90,COMP30260,18,19,0.25,1
227,2015-11-05 12:00:00,B-002,90,COMP30260,18,16,0.25,1
228,2015-11-05 13:00:00,B-002,90,COMP47290,0,14,0.25,1
229,2015-11-05 13:00:00,B-002,90,COMP47290,0,12,0.25,1
230,2015-11-05 13:00:00,B-002,90,COMP47290,0,10,0.25,1
231,2015-11-05 13:00:00,B-002,90,COMP47290,0,9,0.25,1
232,2015-11-05 13:00:00,B-002,90,COMP47290,0,12,0.25,1
233,2015-11-05 13:00:00,B-002,90,COMP47290,0,11,0.25,1
234,2015-11-05 13:00:00,B-002,90,COMP47290,0,11,0.25,1
235,2015-11-05 13:00:00,B-002,90,COMP47290,0,9,0.25,1
236,2015-11-05 13:00:00,B-002,90,COMP47290,0,8,0.25,1
237,2015-11-05 13:00:00,B-002,90,COMP47290,0,17,0.25,1
238,2015-11-05 13:00:00,B-002,90,COMP47290,0,25,0.25,1
239,2015-11-05 13:00:00,B-002,90,COMP47290,0,26,0.25,1
240,2015-11-05 14:00:00,B-002,90,COMP30240,42,38,0.25,1
241,2015-11-05 14:00:00,B-002,90,COMP30240,42,33,0.25,1
242,2015-11-05 14:00:00,B-002,90,COMP30240,42,34,0.25,1
243,2015-11-05 14:00:00,B-002,90,COMP30240,42,34,0.25,1
244,2015-11-05 14:00:00,B-002,90,COMP30240,42,30,0.25,1
245,2015-11-05 14:00:00,B-002,90,COMP30240,42,31,0.25,1
246,2015-11-05 14:00:00,B-002,90,COMP30240,42,30,0.25,1
247,2015-11-05 14:00:00,B-002,90,COMP30240,42,26,0.25,1
248,2015-11-05 14:00:00,B-002,90,COMP30240,42,26,0.25,1
249,2015-11-05 14:00:00,B-002,90,COMP30240,42,31,0.25,1
250,2015-11-05 14:00:00,B-002,90,COMP30240,42,38,0.25,1
251,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,47,0.5,1
252,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,49,0.5,1
253,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,48,0.5,1
254,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,46,0.5,1
255,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,45,0.5,1
256,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,48,0.5,1
257,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,51,0.5,1
258,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,52,0.5,1
259,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,55,0.5,1
260,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,55,0.5,1
261,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,48,0.5,1
262,2015-11-05 15:00:00,B-002,90,COMP30520P1,60,48,0.5,1
263,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,46,0.0,0
264,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,48,0.0,0
265,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,44,0.0,0
266,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,43,0.0,0
267,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,42,0.0,0
268,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,33,0.0,0
269,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,26,0.0,0
270,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,26,0.0,0
271,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,26,0.0,0
272,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,24,0.0,0
273,2015-11-05 16:00:00,B-002,90,COMP30520P1,60,23,0.0,0
