DateTime,Room,Capacity,Module,NumReg,AvgNumWifiConn,PercentageEstimate,BinaryEstimate
2015-11-10 13:00:00,B-004,220,COMP20110,103,56.5,0.25,1
2015-11-11 13:00:00,B-004,220,None,0,7.1667,0.0,0
2015-11-12 13:00:00,B-004,220,COMP10110,113,85.5,0.5,1
2015-11-13 13:00:00,B-004,220,COMP20110,103,24.8333,0.0,0
2015-11-03 14:00:00,B-004,220,STAT40150,0,75.6667,0.25,1
2015-11-04 14:00:00,B-004,220,None,0,9.1667,0.0,0
2015-11-05 14:00:00,B-004,220,ENVB30110,83,69.5,0.25,1
2015-11-06 14:00:00,B-004,220,COMP10110,113,128.286,0.25,1
2015-11-09 14:00:00,B-004,220,SCI30060,66,43.0,0.25,1
2015-11-10 14:00:00,B-004,220,STAT40150,0,71.0,0.5,1
2015-11-11 14:00:00,B-004,220,None,0,12.4,0.0,0
2015-11-12 14:00:00,B-004,220,ENVB30110,83,52.3333,0.5,1
2015-11-13 14:00:00,B-004,220,COMP10110,113,117.0,0.5,1
2015-11-03 15:00:00,B-004,220,COMP20010,108,58.8,0.25,1
2015-11-04 15:00:00,B-004,220,COMP30070,84,1.1667,0.0,0
2015-11-05 15:00:00,B-004,220,None,0,0.1667,0.0,0
2015-11-06 15:00:00,B-004,220,COMP30220,38,10.5,0.0,0
2015-11-09 15:00:00,B-004,220,COMP41110,19,77.5,0.5,1
2015-11-10 15:00:00,B-004,220,COMP20010,108,65.0,0.25,1
2015-11-11 15:00:00,B-004,220,COMP30070,84,37.0,0.0,0
2015-11-12 15:00:00,B-004,220,None,0,0.3333,0.25,1
2015-11-13 15:00:00,B-004,220,COMP30220,38,4.0,0.5,1
2015-11-03 16:00:00,B-004,220,None,0,6.3333,0.0,0
2015-11-04 16:00:00,B-004,220,None,0,0.75,0.0,0
2015-11-05 16:00:00,B-004,220,COMP20010,108,0.0,0.0,0
2015-11-06 16:00:00,B-004,220,None,0,1.3333,0.0,0
2015-11-09 16:00:00,B-004,220,None,0,6.8333,0.25,1
2015-11-10 16:00:00,B-004,220,None,0,1.1667,0.0,0
2015-11-11 16:00:00,B-004,220,None,0,2.1667,0.0,0
2015-11-12 16:00:00,B-004,220,COMP20010,108,57.1667,0.0,0
2015-11-13 16:00:00,B-004,220,None,0,0.1667,0.0,0
2015-11-03 09:00:00,B-004,220,COMP41450 & COMP30120,143,123.167,0.75,1
2015-11-04 09:00:00,B-004,220,COMP30010,79,32.6,0.25,1
2015-11-05 09:00:00,B-004,220,COMP41450 & COMP30120,143,226.833,1.0,1
2015-11-06 09:00:00,B-004,220,None,0,9.1667,0.0,0
2015-11-09 09:00:00,B-004,220,COMP30010,79,29.1667,0.25,1
2015-11-10 09:00:00,B-004,220,COMP41450 & COMP30120,143,67.8333,0.25,1
2015-11-11 09:00:00,B-004,220,COMP30010,79,24.3333,0.0,0
2015-11-12 09:00:00,B-004,220,COMP41450 & COMP30120,143,91.0,0.5,1
2015-11-13 09:00:00,B-004,220,None,0,4.3333,0.0,0
